text,tokenized,cluster
punya anxety parah coba therapi,punya anxety parah coba therapi,2
pikir ujung jadi panick serang,pikir ujung jadi panick serang,2
info tinggal nyaman dimana,info tinggal nyaman dimana,2
ada acara melibatkan orangtua,ada acara melibatkan orangtua,2
sebenarnya punya pikiran aap siii,sebenarnya punya pikiran aap siii,2
bdn tb lmes rs iya sudah srpn,bdn tb lmes rs iya sudah srpn,2
semoga bermanfaat salam sehat bahagia,semoga bermanfaat salam sehat bahagia,2
sainganku gadis tapi anxietynya,sainganku gadis tapi anxietynya,2
sih biar cpt tidur,sih biar cpt tidur,2
leher tercekik pengaruh ya,leher tercekik pengaruh ya,2
pusing nambah nyari uang kepiye,pusing nambah nyari uang kepiye,2
besok sabtu deg karena masalah,besok sabtu deg karena masalah,2
terkadang hidup dulu pikir indah,terkadang hidup dulu pikir indah,2
solusi mengahadapi suami berselingkuh,solusi mengahadapi suami berselingkuh,2
bosan minum madu insya allah sembuh,bosan minum madu insya allah sembuh,2
adakah seperti setiap nyesek,adakah seperti setiap nyesek,2
xklu mlm takut kambu nya,xklu mlm takut kambu nya,2
stiap magrib ada pikir seram hadehh,stiap magrib ada pikir seram hadehh,2
aku menderita penyakit saraf kejepit,aku menderita penyakit saraf kejepit,2
salam kenal sedikit cerita curhat,salam kenal sedikit cerita curhat,2
suka bertelepon menunjukan wajah,suka bertelepon menunjukan wajah,2
jam segini mata ngantuk begini,jam segini mata ngantuk begini,2
hebat kamu bertahan ini,hebat kamu bertahan ini,2
sih enak menyendiri lah main,sih enak menyendiri lah main,2
habis tertawa sesak nafasnya parno,habis tertawa sesak nafasnya parno,2
cra atasicemas brlebih gmana suka takut,cra atasicemas brlebih gmana suka takut,2
mata kering gasensitif kena angin,mata kering gasensitif kena angin,2
stress berat gara satu nganggur,stress berat gara satu nganggur,2
kesiksa hidup bisa sosialisasi,kesiksa hidup bisa sosialisasi,2
abraham kevin idol junior anxiety gerd,abraham kevin idol junior anxiety gerd,2
solusi vertigo kambuh teman,solusi vertigo kambuh teman,2
cuaca dingin tidak terkontrol anxeaty,cuaca dingin tidak terkontrol anxeaty,2
boleh aslam makan kuning telur mwntah,boleh aslam makan kuning telur mwntah,2
sore sudah keliyengan,sore sudah keliyengan,2
apa anxiety disorder mengubah hidupmu,apa anxiety disorder mengubah hidupmu,2
disaat pengangguran susah mencari kerja,disaat pengangguran susah mencari kerja,2
mimpi suami jatuh tangga artinya,mimpi suami jatuh tangga artinya,2
fobia sosial menyendiri ku parah,fobia sosial menyendiri ku parah,2
nano nano anxiety gerd demam amandel,nano nano anxiety gerd demam amandel,2
terima dengan lapang dada kesatria,terima dengan lapang dada kesatria,2
sedih gelisah gabisa fokus kepala pusing ovt,sedih gelisah gabisa fokus kepala pusing ovt,2
tau arah tujuan hidup kedepan gmna,tau arah tujuan hidup kedepan gmna,2
terkadang orang bilang akhlaq jelek,terkadang orang bilang akhlaq jelek,2
mei lalu pernah coba hipnoterapi,mei lalu pernah coba hipnoterapi,2
ya sukanya laki poligami,ya sukanya laki poligami,2
tumben grup sepi gimna cemas,tumben grup sepi gimna cemas,2
pusing kliyengan mata berat pedih mual muntah,pusing kliyengan mata berat pedih mual muntah,2
pinggul kaki lemas,pinggul kaki lemas,2
lagi ovtdunia serasa isi otak,lagi ovtdunia serasa isi otak,2
boleh kalau dance jelek,boleh kalau dance jelek,2
kepala kliyengan serasa pingsan tolongggg,kepala kliyengan serasa pingsan tolongggg,2
berubah mudah sulit istiqomah,berubah mudah sulit istiqomah,2
salah hal membuatku ngisolasi,salah hal membuatku ngisolasi,2
cewek orang cilacap benar cantik,cewek orang cilacap benar cantik,2
selamat pagi kenalin dari jawa barat,selamat pagi kenalin dari jawa barat,2
ngerasainnyeri dada tembus punggung,ngerasainnyeri dada tembus punggung,2
dada ditusuk dada debar,dada ditusuk dada debar,2
ini tepat pensiun dance,ini tepat pensiun dance,2
lagi ovt dunia serasa isi otak,lagi ovt dunia serasa isi otak,2
biarin si fobia sosial peduli salah,biarin si fobia sosial peduli salah,2
yang bantu jelasin ngerti fbpro,yang bantu jelasin ngerti fbpro,2
lagi bulan sensasinya kumpul,lagi bulan sensasinya kumpul,2
yang badannya gatal tiba,yang badannya gatal tiba,2
agustus tidak keperluan tidur,agustus tidak keperluan tidur,2
habis mimpi lucu ngakak mimpi,habis mimpi lucu ngakak mimpi,2
sensasi saja suda rasakan,sensasi saja suda rasakan,2
jantung berdebar padahyjanis tiduran heran,jantung berdebar padahyjanis tiduran heran,2
hidupmu akan berubah kamu berubah,hidupmu akan berubah kamu berubah,2
tidak di sn klu lihatin suami mala kambu,tidak di sn klu lihatin suami mala kambu,2
lagih posisi hidup hampa berati,lagih posisi hidup hampa berati,2
cuaca sore seakan menggambarkan perasaan ku,cuaca sore seakan menggambarkan perasaan ku,2
digrup ada mantan pecandu obat penenang,digrup ada mantan pecandu obat penenang,2
aku preman yang sok sok taubat,aku preman yang sok sok taubat,2
ngerasain dikaki serasa yang merayap,ngerasain dikaki serasa yang merayap,2
bjirt pagi baru bangun otw ngojek,bjirt pagi baru bangun otw ngojek,2
kondisi apapun pernah nyentuh judol,kondisi apapun pernah nyentuh judol,2
mlm kumat solusi sensasi nyesek,mlm kumat solusi sensasi nyesek,2
perut panas begah kembung mual muntah,perut panas begah kembung mual muntah,2
bnyak perubahan jalan kaki alas kaki,bnyak perubahan jalan kaki alas kaki,2
takut terkena penyakit berat rambut rontok parah,takut terkena penyakit berat rambut rontok parah,2
introvert pasti akan berkembang,introvert pasti akan berkembang,2
sos cari user telegram id saja bisa,sos cari user telegram id saja bisa,2
leher kaku tegang yang ngerasain,leher kaku tegang yang ngerasain,2
tidak menyesal lahir keluarga kismin,tidak menyesal lahir keluarga kismin,2
minum buah bid n malam iya air rebusan kacang ijo,minum buah bid n malam iya air rebusan kacang ijo,2
cibiran kita dengan karya kinerja,cibiran kita dengan karya kinerja,2
lagi stress pelarian langsung pmo,lagi stress pelarian langsung pmo,2
secapek sampai rawat di bangsal jiwa,secapek sampai rawat di bangsal jiwa,2
sedih ngerasa berguna diri,sedih ngerasa berguna diri,2
kangen aku suatu peristiwa sekolah,kangen aku suatu peristiwa sekolah,2
satunya hobi kadang mengalihkan depresi,satunya hobi kadang mengalihkan depresi,2
kh di diagnosa gangguan cemas,kh di diagnosa gangguan cemas,2
kalian masih memasuki perkuliahan,kalian masih memasuki perkuliahan,2
sekarang melek gabisa tidur,sekarang melek gabisa tidur,2
mata mereminkaga pules aaarghhhh butuh obaaaat,mata mereminkaga pules aaarghhhh butuh obaaaat,2
obat alprazolam zat adiktif bukan,obat alprazolam zat adiktif bukan,2
besok lupa mandi badan bau kaki,besok lupa mandi badan bau kaki,2
gmna solusi ngatatasi tenggorokan mengganjal,gmna solusi ngatatasi tenggorokan mengganjal,2
disarankan dengarkan saja dokter psikiater,disarankan dengarkan saja dokter psikiater,2
ketemu orang pura goblok harus,ketemu orang pura goblok harus,2
rekomendasi obat sakit gigi bolong paten kaka,rekomendasi obat sakit gigi bolong paten kaka,2
keindahan salah obat psikologi,keindahan salah obat psikologi,2
pakai mesin percuma juga,pakai mesin percuma juga,2
izin curhat mind bingung diri sendiri,izin curhat mind bingung diri sendiri,2
halo  mau masukan kalian,halo mau masukan kalian,2
dihantui pikiran itu nama gila,dihantui pikiran itu nama gila,2
mau sama member disni laki perempuan,mau sama member disni laki perempuan,2
resiko hidup kampung saja ngomongin,resiko hidup kampung saja ngomongin,2
hidup tenang pikiran mempengaruhi judol,hidup tenang pikiran mempengaruhi judol,2
solusinya punya pacar jenis cowok,solusinya punya pacar jenis cowok,2
ada pakai kuota punyaku telkomsel,ada pakai kuota punyaku telkomsel,2
tanya kenapa kalau fb ig,tanya kenapa kalau fb ig,2
teman tampilan luarnya senang,teman tampilan luarnya senang,2
stresss ya gaji sudah borongan,stresss ya gaji sudah borongan,2
